"ID_UTILISATEUR","DATE_NAISSANCE","PAYS_INSCRIPTION","DATE_INSCRIPTION","ANNEE_INSCRIPTION","MOIS_INSCRIPTION"
"3222","17/10/1990","France","07/06/2024",2025,7
"3225","24/07/2006","France","08/05/2022",2020,2
"3226","15/01/2007","France","12/03/2020",2023,4
"3228","07/10/2005","France","10/06/2023",2021,1
"3229","28/02/1990","France","08/04/2021",2023,9
"3237","15/02/1984","France","16/10/2023",2022,11
"3242","13/03/2007","France","19/06/2021",2024,8
"3248","18/05/2001","France","26/12/2024",2023,11
"3250","06/04/1988","France","09/02/2025",2022,5
"3251","12/05/1990","France","10/08/2024",2024,7
"3257","16/11/1985","France","12/07/2024",2020,3
"3259","14/03/1994","France","29/07/2021",2022,9
"3267","24/07/1988","France","03/08/2022",2025,4
"3269","13/02/2009","France","24/12/2024",2022,7
"3272","16/11/2001","France","07/02/2022",2023,7
"3273","10/02/1996","France","19/01/2021",2024,2
"3276","19/12/1988","France","06/08/2023",2023,1
"3277","06/01/1997","France","07/11/2020",2025,6
"3279","14/07/1984","France","04/08/2024",2021,3
"3282","05/01/2006","France","10/04/2023",2024,2
"3284","22/01/2004","France","21/06/2025",2021,6
"3286","04/06/1987","France","19/01/2023",2022,3
"3288","26/10/1980","France","20/11/2020",2023,10
"3289","11/09/1982","France","18/01/2021",2024,9
"3291","08/06/1985","France","08/03/2025",2024,9
"3295","26/07/2008","France","12/07/2020",2022,11
"3302","25/05/1990","France","09/02/2025",2022,5
"3306","26/04/1987","France","30/01/2025",2021,8
"3307","29/02/1992","France","22/04/2022",2023,2
"3312","28/05/1997","France","20/06/2025",2021,5
"3321","31/12/1993","France","10/09/2024",2021,3
"3322","28/04/1996","France","07/05/2025",2020,3
"3326","14/04/2002","France","26/08/2024",2023,1
"3327","08/06/1992","France","26/03/2024",2024,5
"3328","21/10/2009","France","03/04/2022",2023,4
"3329","13/11/1988","France","27/10/2021",2020,8
"3335","03/05/1989","France","02/08/2020",2023,5
"3341","25/03/1998","France","23/09/2022",2021,2
"3342","09/02/2007","France","05/02/2024",2020,3
"3351","19/04/2004","France","02/12/2024",2023,6
"3355","21/06/1994","France","26/03/2025",2022,1
"3356","18/12/1984","France","12/04/2025",2024,10
"3357","12/03/1983","France","06/05/2021",2024,9
"3365","09/09/1995","France","04/08/2022",2025,1
"3368","08/01/1985","France","04/03/2023",2023,7
"3375","07/02/1993","France","12/06/2021",2024,12
"3376","22/05/1980","France","29/04/2025",2020,2
"3378","06/02/2000","France","16/06/2023",2020,8
"3380","09/04/2004","France","03/11/2022",2024,1
"3385","28/05/1986","France","30/05/2024",2020,2
"3388","29/07/2000","France","08/01/2020",2023,3
"3396","05/09/1989","France","18/12/2023",2024,12
"3404","16/04/2005","France","02/09/2021",2022,8
"3408","29/06/2004","France","13/06/2022",2024,12
"3410","18/04/2004","France","07/08/2024",2022,10
"3411","13/02/1993","France","19/02/2021",2022,6
"3417","15/09/1993","France","29/08/2023",2023,10
"3418","19/05/1995","France","15/07/2022",2025,12
"3424","10/03/1995","France","13/11/2024",2020,2
"3432","12/01/1980","France","26/12/2020",2021,8
"3435","20/07/2007","France","27/03/2024",2020,7
"3436","04/03/2004","France","16/03/2024",2020,4
"3442","31/08/1997","France","17/11/2023",2024,12
"3446","16/05/1992","France","12/01/2021",2020,8
"3452","15/05/1997","France","01/07/2021",2021,2
