SQL> SELECT * FROM CONTENU_DIMENSION;

"ID_CONTENU","TITRE","TYPE_MEDIA","NOM_ARTISTE","NOM_ALBUM","GENRE","CODE_ISRC","DUREE_SECONDES","DATE_SORTIE","FLAG_PAROLES_DISPONIBLES","FLAG_CONTENU_EXPLICITE"
"5001","Blinding Lights","Musique","The Weeknd","After Hours","Synth-pop","US-SM1-19-19021",200,"29/11/2019",1,0
"5002","As It Was","Musique","Harry Styles","Harry's House","Pop","GB-SMR-22-00001",167,"01/04/2022",1,0
"5003","L'histoire de Spotify","Podcast","TechDecode","Tech Stories S2","Technologie","N/A",1850,"01/10/2024",0,0
"1228","Titre G??n??r?? 1228","Musique","Artiste 66","Album 22","Rock","SN71WBQ0E20F",2271,"22/07/2024",1,0
"1229","Titre G??n??r?? 1229","Musique","Artiste 94","Album 17","Divers","BE6RUX1Z71BI",2214,"20/03/2023",0,1
"1230","Titre G??n??r?? 1230","Audiobook","Artiste 88","Album 42","Tech","KFGB6P040BFC",3027,"13/03/2024",1,1
"1231","Titre G??n??r?? 1231","Podcast","Artiste 27","Album 3","Pop","JBI063ZAPDRH",636,"30/06/2024",0,0
"1232","Titre G??n??r?? 1232","Audiobook","Artiste 22","Album 44","Divers","FMC1OA22D4N1",3429,"23/09/2023",1,1
"1233","Titre G??n??r?? 1233","Musique","Artiste 44","Album 31","Divers","BUM63JKPUUFO",2698,"24/09/2023",0,0
"1234","Titre G??n??r?? 1234","Podcast","Artiste 59","Album 4","Tech","GQCNRB2H8Q3Y",110,"22/12/2023",0,0
"1235","Titre G??n??r?? 1235","Musique","Artiste 91","Album 37","Tech","DMQ4IS2BYL4K",375,"07/11/2024",1,1
"1236","Titre G??n??r?? 1236","Musique","Artiste 69","Album 33","Rock","HRNUDHZSAVJI",352,"10/07/2024",1,1
"1237","Titre G??n??r?? 1237","Podcast","Artiste 43","Album 48","News","YE1BPMR47QMB",2158,"11/10/2023",0,1
"1238","Titre G??n??r?? 1238","Audiobook","Artiste 73","Album 44","Divers","RQT1ESBIEHJ1",3193,"22/05/2024",1,1
"1239","Titre G??n??r?? 1239","Musique","Artiste 43","Album 49","Tech","FQ3VAX12IKK3",265,"12/07/2024",1,0
"1240","Titre G??n??r?? 1240","Audiobook","Artiste 37","Album 42","Pop","CI63G9BWTC27",1357,"30/11/2024",1,1
"1241","Titre G??n??r?? 1241","Podcast","Artiste 86","Album 6","Divers","IWMGABDU3G3E",2679,"02/05/2023",1,1
"1242","Titre G??n??r?? 1242","Audiobook","Artiste 43","Album 39","Pop","HCAWK82MNV9B",913,"26/11/2023",1,0
"1243","Titre G??n??r?? 1243","Podcast","Artiste 57","Album 47","Tech","SKAKJQW9FG2U",3503,"19/10/2023",1,1
"1244","Titre G??n??r?? 1244","Musique","Artiste 70","Album 4","Divers","FR5CXNSCQL8M",3057,"23/02/2023",1,1
"1245","Titre G??n??r?? 1245","Audiobook","Artiste 20","Album 8","Divers","SDGMA37C6MBT",871,"16/03/2023",1,1
"1246","Titre G??n??r?? 1246","Musique","Artiste 8","Album 46","Rock","IDW9JRNTMZVT",3054,"29/12/2023",1,0
"1247","Titre G??n??r?? 1247","Audiobook","Artiste 37","Album 34","Pop","GC6ZP4AW5M35",1232,"10/02/2023",0,0
"1248","Titre G??n??r?? 1248","Audiobook","Artiste 11","Album 22","Divers","BC604WBZHKRB",703,"15/03/2023",0,0
"1249","Titre G??n??r?? 1249","Musique","Artiste 20","Album 10","News","KTYX143RM0ET",1660,"11/09/2024",0,0
"1250","Titre G??n??r?? 1250","Audiobook","Artiste 48","Album 47","Pop","RB8CQC6K8FYB",3094,"15/10/2023",1,0
"1251","Titre G??n??r?? 1251","Musique","Artiste 28","Album 39","News","XSSXGWQ6L76X",974,"01/11/2023",0,0
"1252","Titre G??n??r?? 1252","Musique","Artiste 14","Album 26","Rock","OB2HF9XO5W5W",802,"14/06/2024",0,0
"1253","Titre G??n??r?? 1253","Audiobook","Artiste 97","Album 26","Rock","OJIIVZFYJDES",1222,"25/08/2024",0,0
"1254","Titre G??n??r?? 1254","Musique","Artiste 74","Album 30","News","UW3SYA37EJFN",1836,"04/02/2023",1,0
"1255","Titre G??n??r?? 1255","Musique","Artiste 52","Album 22","Divers","RIGHRD87IOSQ",3042,"25/02/2024",0,1
"1256","Titre G??n??r?? 1256","Podcast","Artiste 62","Album 36","Rock","OWL1F78DDOBN",364,"09/02/2023",0,1
"1257","Titre G??n??r?? 1257","Musique","Artiste 33","Album 1","Tech","ZWY85J55NIQK",1480,"23/01/2023",0,0
"1258","Titre G??n??r?? 1258","Podcast","Artiste 70","Album 43","Pop","BOVLQWA3X4ZM",1789,"23/04/2024",1,1
"1259","Titre G??n??r?? 1259","Podcast","Artiste 75","Album 10","Pop","SZYSPCQMRZPB",3199,"04/09/2024",0,1
"1260","Titre G??n??r?? 1260","Audiobook","Artiste 26","Album 18","Pop","RDR5799TS869",2455,"18/07/2024",1,1
"1261","Titre G??n??r?? 1261","Audiobook","Artiste 62","Album 11","Tech","WZFTZ0C9YVR3",3193,"03/11/2024",0,1
"1262","Titre G??n??r?? 1262","Musique","Artiste 22","Album 31","Tech","OYVFSM3SH97N",977,"27/06/2024",1,1
"1263","Titre G??n??r?? 1263","Musique","Artiste 10","Album 21","Pop","DAXO6F6W0J9G",2015,"11/03/2023",1,1
"1264","Titre G??n??r?? 1264","Podcast","Artiste 51","Album 30","Tech","HOW7NNR12N2D",935,"17/01/2024",0,1
"1265","Titre G??n??r?? 1265","Podcast","Artiste 6","Album 17","Divers","EI81C5BVAH5F",2368,"15/08/2023",0,1
"1266","Titre G??n??r?? 1266","Audiobook","Artiste 69","Album 35","Rock","CGA93E7X5AGS",3093,"12/08/2024",1,1
"1267","Titre G??n??r?? 1267","Audiobook","Artiste 23","Album 5","Divers","EXHPZE6Y8VZG",1094,"20/03/2024",0,0
"1268","Titre G??n??r?? 1268","Audiobook","Artiste 45","Album 48","Tech","LUO5CO3DJFQU",2152,"18/05/2023",1,0
"1269","Titre G??n??r?? 1269","Podcast","Artiste 46","Album 11","Rock","HFDGXJ1LAH55",127,"11/06/2024",0,0
"1270","Titre G??n??r?? 1270","Podcast","Artiste 57","Album 4","Tech","WXST2YJX3AK0",2352,"03/09/2023",1,0
"1271","Titre G??n??r?? 1271","Musique","Artiste 71","Album 38","News","EGIK6UC6R1MH",1396,"12/01/2023",0,0
"1272","Titre G??n??r?? 1272","Musique","Artiste 92","Album 19","Pop","VPMXU4ICGU4R",2992,"19/02/2024",0,0
"1273","Titre G??n??r?? 1273","Audiobook","Artiste 16","Album 49","Divers","ZDFHAPCS9CD5",1189,"01/10/2023",1,0
"1274","Titre G??n??r?? 1274","Podcast","Artiste 3","Album 46","News","RMXLMPJ46454",325,"26/07/2024",0,0
"1275","Titre G??n??r?? 1275","Musique","Artiste 99","Album 36","Pop","MXIS8PR7M1OG",2332,"07/10/2024",0,1
"1276","Titre G??n??r?? 1276","Audiobook","Artiste 96","Album 30","Tech","VNWC5U9MDA5U",3303,"28/10/2023",0,1
"1277","Titre G??n??r?? 1277","Musique","Artiste 70","Album 40","Rock","TFKT2LPYS3L5",1903,"21/03/2024",0,1
"1278","Titre G??n??r?? 1278","Audiobook","Artiste 78","Album 21","News","ZX2JG4DTM8UM",682,"10/05/2023",0,1
"1279","Titre G??n??r?? 1279","Musique","Artiste 61","Album 15","Divers","YWSWXLHN7UK6",2257,"27/08/2024",1,0
"1280","Titre G??n??r?? 1280","Podcast","Artiste 95","Album 32","News","VOKY9V2N9RLP",2336,"03/06/2023",1,1
"1281","Titre G??n??r?? 1281","Podcast","Artiste 55","Album 10","News","ZYZ83MTI4XKY",615,"25/08/2024",1,0
"1282","Titre G??n??r?? 1282","Audiobook","Artiste 86","Album 27","Pop","JBCU2335EZVB",3196,"14/03/2024",1,1
"1283","Titre G??n??r?? 1283","Musique","Artiste 40","Album 23","Tech","UQLEMHXD223V",2260,"27/01/2024",1,0
"1284","Titre G??n??r?? 1284","Musique","Artiste 9","Album 20","Tech","PST0JIVB9DNJ",1836,"08/04/2023",1,1
"1285","Titre G??n??r?? 1285","Podcast","Artiste 29","Album 12","Pop","EF11JECWPBFQ",392,"20/07/2023",0,0
"1286","Titre G??n??r?? 1286","Musique","Artiste 47","Album 36","Divers","VOXK7PV6UR66",1093,"22/10/2023",1,0
"1287","Titre G??n??r?? 1287","Musique","Artiste 18","Album 46","Rock","VI2CN2VNLBVE",3071,"20/04/2023",1,0
"1288","Titre G??n??r?? 1288","Audiobook","Artiste 90","Album 11","Rock","DO30QZV6GDLZ",2814,"27/06/2024",0,0
"1289","Titre G??n??r?? 1289","Podcast","Artiste 80","Album 12","Divers","ATKOWXK7BQI8",2599,"18/01/2023",0,1
"1290","Titre G??n??r?? 1290","Musique","Artiste 93","Album 27","Pop","LMND33WHYY7X",2305,"05/07/2024",0,0
"1291","Titre G??n??r?? 1291","Podcast","Artiste 66","Album 10","Pop","SKE6EVK2PRL3",1102,"13/09/2024",0,0
"1292","Titre G??n??r?? 1292","Audiobook","Artiste 47","Album 10","Divers","XU4YJLA6OGM0",1191,"25/10/2024",0,1
"1293","Titre G??n??r?? 1293","Podcast","Artiste 22","Album 22","News","WML9UE0G99WC",1627,"17/08/2023",0,0
"1294","Titre G??n??r?? 1294","Audiobook","Artiste 69","Album 18","Pop","IF21PVXN3NWO",3483,"29/06/2024",0,1
"1295","Titre G??n??r?? 1295","Musique","Artiste 15","Album 21","News","WFJ4SN9ANMWO",1561,"30/12/2023",1,1
"1296","Titre G??n??r?? 1296","Podcast","Artiste 52","Album 45","Divers","BX48113MGF2T",3203,"17/09/2024",0,0
"1297","Titre G??n??r?? 1297","Audiobook","Artiste 34","Album 16","Rock","NWCJ6P7CA0P9",280,"09/01/2024",0,1
"1298","Titre G??n??r?? 1298","Musique","Artiste 63","Album 38","Rock","CI4JJ4SAV5WV",1359,"18/06/2023",0,0
"1299","Titre G??n??r?? 1299","Podcast","Artiste 34","Album 28","Rock","BUWJY3Q4IZDX",2453,"08/11/2023",1,0
"1300","Titre G??n??r?? 1300","Audiobook","Artiste 14","Album 40","Pop","WD8N96IPVL8A",1544,"14/04/2024",1,0
"1301","Titre G??n??r?? 1301","Podcast","Artiste 85","Album 32","Pop","CE8JLRXCDAAI",1690,"09/07/2024",0,0
"1302","Titre G??n??r?? 1302","Audiobook","Artiste 41","Album 12","Divers","RZEXN6Z3AI32",1208,"27/01/2023",1,0
"1303","Titre G??n??r?? 1303","Audiobook","Artiste 16","Album 1","News","MU7CE9ME20V4",2978,"10/02/2023",1,1
"1304","Titre G??n??r?? 1304","Podcast","Artiste 20","Album 32","Divers","HAEPCUYCY0ZG",769,"06/11/2023",0,0
"1305","Titre G??n??r?? 1305","Musique","Artiste 3","Album 17","News","FW74K3TO87C6",709,"15/10/2023",0,1
"1306","Titre G??n??r?? 1306","Podcast","Artiste 18","Album 34","Rock","HPVAG1623BGJ",229,"18/08/2024",0,1
"1307","Titre G??n??r?? 1307","Musique","Artiste 22","Album 19","Tech","BIJ4FBAUMUFI",2252,"25/05/2023",0,1
"1308","Titre G??n??r?? 1308","Audiobook","Artiste 40","Album 9","News","KH7A2C2AMQEP",1771,"17/06/2023",0,1
"1309","Titre G??n??r?? 1309","Audiobook","Artiste 17","Album 6","Pop","XPKPJH7X96JJ",1834,"28/02/2024",1,0
"1310","Titre G??n??r?? 1310","Podcast","Artiste 62","Album 22","Pop","BSJ33W7JD4QS",99,"01/06/2024",0,1
"1311","Titre G??n??r?? 1311","Audiobook","Artiste 42","Album 11","Rock","NPT4C9T5UWRZ",3119,"06/04/2024",0,1
"1312","Titre G??n??r?? 1312","Podcast","Artiste 77","Album 12","Divers","PYQ9XWH912F7",878,"04/07/2023",0,0
"1313","Titre G??n??r?? 1313","Audiobook","Artiste 36","Album 12","Divers","UZI8SWSIILUD",1336,"22/10/2024",1,0
"1314","Titre G??n??r?? 1314","Podcast","Artiste 32","Album 20","Rock","IGC36XDT0FYA",2664,"08/06/2024",0,0
"1315","Titre G??n??r?? 1315","Audiobook","Artiste 51","Album 39","Tech","NJMD00NRKKRA",2216,"14/02/2024",0,1
"1316","Titre G??n??r?? 1316","Audiobook","Artiste 88","Album 3","Divers","ITT8CZR7GCV1",2426,"24/01/2023",1,0
"1317","Titre G??n??r?? 1317","Musique","Artiste 99","Album 42","News","ND4M0Z9NM776",900,"16/02/2024",1,1
"1318","Titre G??n??r?? 1318","Podcast","Artiste 41","Album 30","Tech","JNS9MINVKVPF",96,"12/05/2023",0,0
"1319","Titre G??n??r?? 1319","Audiobook","Artiste 8","Album 44","Divers","FZDOXKW0GCTM",1941,"21/03/2024",0,0
"1320","Titre G??n??r?? 1320","Podcast","Artiste 79","Album 25","Tech","WZ2MDNIYNKUJ",1468,"14/11/2024",0,0
"1321","Titre G??n??r?? 1321","Musique","Artiste 71","Album 14","Pop","WMH3IPKNZXWL",266,"09/11/2024",1,1
"1322","Titre G??n??r?? 1322","Podcast","Artiste 88","Album 32","News","DUKUBZXMC96I",1053,"26/11/2024",1,0
"1323","Titre G??n??r?? 1323","Audiobook","Artiste 65","Album 15","Rock","OKJPJH40USW8",1757,"05/08/2024",1,0
"1324","Titre G??n??r?? 1324","Podcast","Artiste 43","Album 37","Divers","ZT69XLYRMXY7",1120,"09/05/2023",0,1
"1325","Titre G??n??r?? 1325","Musique","Artiste 70","Album 43","Pop","UVUT33PRFF8O",1530,"25/11/2023",1,0
"1326","Titre G??n??r?? 1326","Musique","Artiste 51","Album 24","Pop","KC75Z8VQJRD9",998,"20/02/2024",1,0
"1327","Titre G??n??r?? 1327","Audiobook","Artiste 88","Album 1","Rock","AFG1DKOBOTTN",2814,"02/03/2023",0,1
"1328","Titre G??n??r?? 1328","Musique","Artiste 73","Album 28","News","WC1O0XR9CMU1",2606,"09/10/2024",0,1
"1329","Titre G??n??r?? 1329","Podcast","Artiste 90","Album 24","News","BSDBUQ1CB8PP",3492,"04/02/2023",0,0
"1330","Titre G??n??r?? 1330","Musique","Artiste 22","Album 16","News","FNDEQ0FFZTG4",1589,"17/10/2024",1,1
