SQL> SELECT * FROM UTILISATEUR_DIMENSION_DYNAMIQUE;

"ID_UTILISATEUR","PAYS_INSCRIPTION","PSEUDONYME","TRANCHE_AGE_CALCULEE","GENRE_DECLARE","TYPE_ABONNEMENT"
"5006","France","User_5006","36-45","Homme","Free"
"5012","France","User_5012","18-25","Non-d??clar??","Premium"
"5025","France","User_5025","26-35","Homme","Free"
"5029","France","User_5029","18-25","Femme","Student"
"5031","France","User_5031","18-25","Non-d??clar??","Free"
"5035","France","User_5035","18-25","Homme","Free"
"5037","France","User_5037","46+","Homme","Premium"
"5046","France","User_5046","18-25","Non-d??clar??","Free"
"5049","France","User_5049","18-25","Femme","Free"
"5050","France","User_5050","18-25","Femme","Premium"
"5052","France","User_5052","36-45","Homme","Student"
"5054","France","User_5054","36-45","Homme","Student"
"5058","France","User_5058","26-35","Femme","Free"
"5070","France","User_5070","26-35","Non-d??clar??","Free"
"5074","France","User_5074","18-25","Homme","Free"
"5076","France","User_5076","36-45","Homme","Student"
"5081","France","User_5081","26-35","Non-d??clar??","Free"
"5089","France","User_5089","46+","Femme","Free"
"5091","France","User_5091","46+","Non-d??clar??","Free"
"5094","France","User_5094","18-25","Homme","Free"
"5104","France","User_5104","36-45","Homme","Free"
"5106","France","User_5106","26-35","Non-d??clar??","Student"
"5110","France","User_5110","46+","Non-d??clar??","Premium"
"5123","France","User_5123","18-25","Femme","Premium"
"5132","France","User_5132","18-25","Homme","Free"
"5143","France","User_5143","46+","Non-d??clar??","Student"
"5144","France","User_5144","26-35","Femme","Premium"
"5145","France","User_5145","18-25","Non-d??clar??","Student"
"5151","France","User_5151","46+","Femme","Premium"
"5153","France","User_5153","26-35","Non-d??clar??","Free"
"5155","France","User_5155","26-35","Homme","Free"
"5162","France","User_5162","46+","Femme","Free"
"5163","France","User_5163","26-35","Homme","Student"
"5171","France","User_5171","46+","Non-d??clar??","Free"
"5172","France","User_5172","46+","Femme","Student"
"5173","France","User_5173","18-25","Non-d??clar??","Premium"
"5175","France","User_5175","36-45","Homme","Free"
"5176","France","User_5176","46+","Homme","Premium"
"5185","France","User_5185","26-35","Femme","Free"
"5190","France","User_5190","36-45","Non-d??clar??","Free"
"5196","France","User_5196","26-35","Homme","Student"
"5198","France","User_5198","46+","Homme","Premium"
"5200","France","User_5200","26-35","Femme","Premium"
"5204","France","User_5204","26-35","Non-d??clar??","Free"
"5208","France","User_5208","36-45","Homme","Premium"
"5209","France","User_5209","18-25","Homme","Student"
"5211","France","User_5211","18-25","Femme","Free"
"5218","France","User_5218","26-35","Homme","Student"
"5221","France","User_5221","36-45","Femme","Free"
"5224","France","User_5224","46+","Femme","Free"
"5237","France","User_5237","46+","Non-d??clar??","Free"
"5239","France","User_5239","36-45","Non-d??clar??","Student"
"5245","France","User_5245","46+","Femme","Student"
"5248","France","User_5248","46+","Femme","Free"
"5253","France","User_5253","46+","Homme","Free"
"5270","France","User_5270","26-35","Non-d??clar??","Premium"
"5272","France","User_5272","46+","Femme","Student"
"5277","France","User_5277","18-25","Homme","Student"
"5278","France","User_5278","26-35","Non-d??clar??","Student"
"5287","France","User_5287","18-25","Non-d??clar??","Free"
"5289","France","User_5289","26-35","Femme","Premium"
"5291","France","User_5291","36-45","Non-d??clar??","Free"
"5302","France","User_5302","26-35","Homme","Student"
"5307","France","User_5307","46+","Non-d??clar??","Free"
"5309","France","User_5309","26-35","Homme","Free"
"5311","France","User_5311","18-25","Non-d??clar??","Premium"
"5314","France","User_5314","46+","Femme","Premium"
"5315","France","User_5315","26-35","Homme","Free"
"5319","France","User_5319","26-35","Homme","Free"
"5322","France","User_5322","26-35","Non-d??clar??","Free"
"5323","France","User_5323","26-35","Homme","Student"
"5330","France","User_5330","46+","Femme","Premium"
"5335","France","User_5335","46+","Femme","Free"
"5343","France","User_5343","18-25","Homme","Student"
"5356","France","User_5356","36-45","Homme","Free"
"5357","France","User_5357","26-35","Homme","Student"
"5372","France","User_5372","18-25","Homme","Free"
"5374","France","User_5374","18-25","Non-d??clar??","Student"
"5381","France","User_5381","18-25","Non-d??clar??","Student"
"5393","France","User_5393","36-45","Homme","Student"
"5398","France","User_5398","46+","Non-d??clar??","Free"
"5400","France","User_5400","36-45","Femme","Premium"
"5410","France","User_5410","46+","Homme","Free"
"5413","France","User_5413","46+","Femme","Premium"
"5422","France","User_5422","46+","Femme","Free"
"5423","France","User_5423","36-45","Non-d??clar??","Free"
"5424","France","User_5424","26-35","Femme","Free"
"5427","France","User_5427","18-25","Femme","Free"
"5436","France","User_5436","26-35","Femme","Premium"
"5437","France","User_5437","36-45","Femme","Free"
"5440","France","User_5440","18-25","Non-d??clar??","Premium"
"5449","France","User_5449","46+","Non-d??clar??","Student"
"5451","France","User_5451","18-25","Femme","Free"
"5453","France","User_5453","18-25","Homme","Free"
"5456","France","User_5456","18-25","Homme","Student"
"5468","France","User_5468","18-25","Non-d??clar??","Free"
"5471","France","User_5471","18-25","Femme","Premium"
"5474","France","User_5474","26-35","Non-d??clar??","Free"
"5478","France","User_5478","18-25","Homme","Premium"
"5479","France","User_5479","36-45","Homme","Premium"
"5480","France","User_5480","36-45","Non-d??clar??","Premium"
"5481","France","User_5481","46+","Non-d??clar??","Premium"
"5489","France","User_5489","46+","Homme","Premium"
"5493","France","User_5493","18-25","Non-d??clar??","Premium"
"5498","France","User_5498","46+","Femme","Free"
