,,,,,,,,,,
,,,,,,,,,,
ID_OFFRE,NOM_OFFRE,TYPE_OFFRE,PRIX_MENSUEL_EUR,LIMITE_COMPTES,DUREE_ECOUTE_LIVRE_AUDIO,FLAG_SPOTIFY_KIDS,FLAG_PUBLICITE,FLAG_MUSIQUE_HORS_CONNEXION,FLAG_AUDIO_LOSSLESS,
633,Premium Duo,Premium,12,99,1,47,N,N,O,N
634,Premium Famille,Premium,15,99,6,26,O,N,O,N
635,Gratuit,Free,0,1,36,N,O,N,O,
636,Premium Solo,Premium,9,99,1,44,O,N,O,N
637,Premium Duo,Premium,12,99,1,38,N,N,O,N
638,Premium Famille,Premium,15,99,6,26,O,N,O,N
639,Gratuit,Free,0,1,31,N,O,N,N,
640,Premium Solo,Premium,9,99,1,26,O,N,O,O
641,Premium Duo,Premium,12,99,1,36,N,N,O,N
642,Premium Famille,Premium,15,99,6,38,O,N,O,N
643,Gratuit,Free,0,1,49,N,O,N,N,
644,Premium Solo,Premium,9,99,1,40,O,N,O,N
645,Premium Duo,Premium,12,99,1,12,N,N,O,O
646,Premium Famille,Premium,15,99,6,28,O,N,O,N
647,Gratuit,Free,0,1,18,N,O,N,N,
648,Premium Solo,Premium,9,99,1,12,O,N,O,N
649,Premium Duo,Premium,12,99,1,18,N,N,O,N
650,Premium Famille,Premium,15,99,6,10,O,N,O,O
651,Gratuit,Free,0,1,15,N,O,N,N,
652,Premium Solo,Premium,9,99,1,37,O,N,O,N
653,Premium Duo,Premium,12,99,1,12,N,N,O,N
654,Premium Famille,Premium,15,99,6,17,O,N,O,N
655,Gratuit,Free,0,1,24,N,O,N,O,
656,Premium Solo,Premium,9,99,1,10,O,N,O,N
657,Premium Duo,Premium,12,99,1,25,N,N,O,N
658,Premium Famille,Premium,15,99,6,23,O,N,O,N
659,Gratuit,Free,0,1,32,N,O,N,N,
660,Premium Solo,Premium,9,99,1,45,O,N,O,O
661,Premium Duo,Premium,12,99,1,11,N,N,O,N
662,Premium Famille,Premium,15,99,6,43,O,N,O,N
663,Gratuit,Free,0,1,28,N,O,N,N,
664,Premium Solo,Premium,9,99,1,13,O,N,O,N
665,Premium Duo,Premium,12,99,1,27,N,N,O,O
666,Premium Famille,Premium,15,99,6,19,O,N,O,N
667,Gratuit,Free,0,1,12,N,O,N,N,
668,Premium Solo,Premium,9,99,1,14,O,N,O,N
669,Premium Duo,Premium,12,99,1,27,N,N,O,N
670,Premium Famille,Premium,15,99,6,25,O,N,O,O
671,Gratuit,Free,0,1,24,N,O,N,N,
672,Premium Solo,Premium,9,99,1,20,O,N,O,N
673,Premium Duo,Premium,12,99,1,37,N,N,O,N
674,Premium Famille,Premium,15,99,6,29,O,N,O,N
675,Gratuit,Free,0,1,48,N,O,N,O,
676,Premium Solo,Premium,9,99,1,28,O,N,O,N
677,Premium Duo,Premium,12,99,1,21,N,N,O,N
678,Premium Famille,Premium,15,99,6,21,O,N,O,N
679,Gratuit,Free,0,1,20,N,O,N,N,
680,Premium Solo,Premium,9,99,1,17,O,N,O,O
681,Premium Duo,Premium,12,99,1,21,N,N,O,N
