,,,,,,,,
,,,,,,,,
ID_REGION,NOM_REGION,CODE_REGION_ISO3166_2,NOM_PAYS,CODE_PAYS_ISO3166_1,FUSEAU_HORAIRE,CONTINENT,LANGUE_PRINCIPALE,DEVISE_MONETAIRE
430,Region_430,ISO_430,France,FRA,GMT+8,Am??riques,Fran??ais,EUR
431,Region_431,ISO_431,Allemagne,DEU,GMT+7,Asie,Allemand,USD
432,Region_432,ISO_432,Espagne,ESP,GMT+3,Europe,Espagnol,BRL
433,Region_433,ISO_433,??tats-Unis,USA,GMT+2,Am??riques,Anglais,BRL
434,Region_434,ISO_434,Br??sil,BRA,GMT+11,Asie,Portugais,BRL
435,Region_435,ISO_435,France,FRA,GMT+3,Europe,Fran??ais,EUR
436,Region_436,ISO_436,Allemagne,DEU,GMT+3,Am??riques,Allemand,USD
437,Region_437,ISO_437,Espagne,ESP,GMT+11,Asie,Espagnol,BRL
438,Region_438,ISO_438,??tats-Unis,USA,GMT+4,Europe,Anglais,BRL
439,Region_439,ISO_439,Br??sil,BRA,GMT+6,Am??riques,Portugais,BRL
440,Region_440,ISO_440,France,FRA,GMT+10,Asie,Fran??ais,EUR
441,Region_441,ISO_441,Allemagne,DEU,GMT+3,Europe,Allemand,USD
442,Region_442,ISO_442,Espagne,ESP,GMT+3,Am??riques,Espagnol,BRL
443,Region_443,ISO_443,??tats-Unis,USA,GMT+4,Asie,Anglais,BRL
444,Region_444,ISO_444,Br??sil,BRA,GMT+6,Europe,Portugais,BRL
445,Region_445,ISO_445,France,FRA,GMT+4,Am??riques,Fran??ais,EUR
446,Region_446,ISO_446,Allemagne,DEU,GMT+11,Asie,Allemand,USD
447,Region_447,ISO_447,Espagne,ESP,GMT+10,Europe,Espagnol,BRL
448,Region_448,ISO_448,??tats-Unis,USA,GMT+11,Am??riques,Anglais,BRL
449,Region_449,ISO_449,Br??sil,BRA,GMT+3,Asie,Portugais,BRL
450,Region_450,ISO_450,France,FRA,GMT+4,Europe,Fran??ais,EUR
451,Region_451,ISO_451,Allemagne,DEU,GMT+5,Am??riques,Allemand,USD
452,Region_452,ISO_452,Espagne,ESP,GMT+4,Asie,Espagnol,BRL
453,Region_453,ISO_453,??tats-Unis,USA,GMT+3,Europe,Anglais,BRL
454,Region_454,ISO_454,Br??sil,BRA,GMT+6,Am??riques,Portugais,BRL
455,Region_455,ISO_455,France,FRA,GMT+9,Asie,Fran??ais,EUR
456,Region_456,ISO_456,Allemagne,DEU,GMT+2,Europe,Allemand,USD
457,Region_457,ISO_457,Espagne,ESP,GMT+5,Am??riques,Espagnol,BRL
458,Region_458,ISO_458,??tats-Unis,USA,GMT+6,Asie,Anglais,BRL
459,Region_459,ISO_459,Br??sil,BRA,GMT+2,Europe,Portugais,BRL
460,Region_460,ISO_460,France,FRA,GMT+1,Am??riques,Fran??ais,EUR
461,Region_461,ISO_461,Allemagne,DEU,GMT+9,Asie,Allemand,USD
462,Region_462,ISO_462,Espagne,ESP,GMT+4,Europe,Espagnol,BRL
463,Region_463,ISO_463,??tats-Unis,USA,GMT+8,Am??riques,Anglais,BRL
464,Region_464,ISO_464,Br??sil,BRA,GMT+3,Asie,Portugais,BRL
465,Region_465,ISO_465,France,FRA,GMT+6,Europe,Fran??ais,EUR
466,Region_466,ISO_466,Allemagne,DEU,GMT+9,Am??riques,Allemand,USD
467,Region_467,ISO_467,Espagne,ESP,GMT+11,Asie,Espagnol,BRL
468,Region_468,ISO_468,??tats-Unis,USA,GMT+10,Europe,Anglais,BRL
469,Region_469,ISO_469,Br??sil,BRA,GMT+6,Am??riques,Portugais,BRL
470,Region_470,ISO_470,France,FRA,GMT+11,Asie,Fran??ais,EUR
471,Region_471,ISO_471,Allemagne,DEU,GMT+8,Europe,Allemand,USD
472,Region_472,ISO_472,Espagne,ESP,GMT+1,Am??riques,Espagnol,BRL
473,Region_473,ISO_473,??tats-Unis,USA,GMT+3,Asie,Anglais,BRL
474,Region_474,ISO_474,Br??sil,BRA,GMT+4,Europe,Portugais,BRL
475,Region_475,ISO_475,France,FRA,GMT+1,Am??riques,Fran??ais,EUR
476,Region_476,ISO_476,Allemagne,DEU,GMT+7,Asie,Allemand,USD
477,Region_477,ISO_477,Espagne,ESP,GMT+10,Europe,Espagnol,BRL
478,Region_478,ISO_478,??tats-Unis,USA,GMT+3,Am??riques,Anglais,BRL
479,Region_479,ISO_479,Br??sil,BRA,GMT+6,Asie,Portugais,BRL
480,Region_480,ISO_480,France,FRA,GMT+1,Europe,Fran??ais,EUR
481,Region_481,ISO_481,Allemagne,DEU,GMT+5,Am??riques,Allemand,USD
482,Region_482,ISO_482,Espagne,ESP,GMT+10,Asie,Espagnol,BRL
483,Region_483,ISO_483,??tats-Unis,USA,GMT+1,Europe,Anglais,BRL
484,Region_484,ISO_484,Br??sil,BRA,GMT+9,Am??riques,Portugais,BRL
485,Region_485,ISO_485,France,FRA,GMT+2,Asie,Fran??ais,EUR
486,Region_486,ISO_486,Allemagne,DEU,GMT+5,Europe,Allemand,USD
487,Region_487,ISO_487,Espagne,ESP,GMT+4,Am??riques,Espagnol,BRL
488,Region_488,ISO_488,??tats-Unis,USA,GMT+7,Asie,Anglais,BRL
489,Region_489,ISO_489,Br??sil,BRA,GMT+5,Europe,Portugais,BRL
