,,,,,,,,,,
,,,,,,,,,,
ID_SEGMENT,NOM_TRANCHE_D_AGE,AGE_MINIMUM,AGE_MAXIMUM,POURCENTAGE_POPULATION,REVENU_MOYEN,GENRE_MUSICAL_FAVORI,APPAREIL_PREFERE,FLAG_UTILISATEURS_MINEURS,,
547,Moins de 18 Ans,1,17,10,88,45540,35,Rock,Ordinateur,O
548,18-25 Ans,18,25,23,67,81814,62,Rap,Smart TV,N
549,26-40 Ans,26,40,20,24,32795,77,Pop,Smartphone,N
550,41-60 Ans,41,60,10,66,59760,24,Rock,Ordinateur,N
551,Moins de 18 Ans,1,17,14,6,70827,79,Rap,Smart TV,O
552,18-25 Ans,18,25,17,77,49166,95,Pop,Smartphone,N
553,26-40 Ans,26,40,13,82,77296,95,Rock,Ordinateur,N
554,41-60 Ans,41,60,23,29,98055,28,Rap,Smart TV,N
555,Moins de 18 Ans,1,17,26,32,26249,Pop,Smartphone,O,
556,18-25 Ans,18,25,10,85,81667,43,Rock,Ordinateur,N
557,26-40 Ans,26,40,27,96,21752,2,Rap,Smart TV,N
558,41-60 Ans,41,60,27,36,54788,14,Pop,Smartphone,N
559,Moins de 18 Ans,1,17,16,54,68232,3,Rock,Ordinateur,O
560,18-25 Ans,18,25,29,74,42535,61,Rap,Smart TV,N
561,26-40 Ans,26,40,19,34,45528,45,Pop,Smartphone,N
562,41-60 Ans,41,60,12,4,36655,61,Rock,Ordinateur,N
563,Moins de 18 Ans,1,17,16,46,98863,86,Rap,Smart TV,O
564,18-25 Ans,18,25,18,44,66939,78,Pop,Smartphone,N
565,26-40 Ans,26,40,12,77,97824,81,Rock,Ordinateur,N
566,41-60 Ans,41,60,18,3,35506,79,Rap,Smart TV,N
567,Moins de 18 Ans,1,17,23,43,25552,71,Pop,Smartphone,O
568,18-25 Ans,18,25,25,5,75684,41,Rock,Ordinateur,N
569,26-40 Ans,26,40,26,52,23527,37,Rap,Smart TV,N
570,41-60 Ans,41,60,15,34,51190,2,Pop,Smartphone,N
571,Moins de 18 Ans,1,17,23,53,84937,2,Rock,Ordinateur,O
572,18-25 Ans,18,25,10,74,55949,61,Rap,Smart TV,N
573,26-40 Ans,26,40,28,35,47554,83,Pop,Smartphone,N
574,41-60 Ans,41,60,19,23,49684,26,Rock,Ordinateur,N
575,Moins de 18 Ans,1,17,28,44,73641,64,Rap,Smart TV,O
576,18-25 Ans,18,25,11,9,98339,89,Pop,Smartphone,N
577,26-40 Ans,26,40,19,58,30819,1,Rock,Ordinateur,N
578,41-60 Ans,41,60,24,1,62086,76,Rap,Smart TV,N
579,Moins de 18 Ans,1,17,22,42,84823,2,Pop,Smartphone,O
580,18-25 Ans,18,25,29,3,46366,92,Rock,Ordinateur,N
581,26-40 Ans,26,40,23,78,25286,69,Rap,Smart TV,N
582,41-60 Ans,41,60,13,39,59008,93,Pop,Smartphone,N
583,Moins de 18 Ans,1,17,12,95,83592,15,Rock,Ordinateur,O
584,18-25 Ans,18,25,19,34,77944,63,Rap,Smart TV,N
585,26-40 Ans,26,40,11,32,30794,65,Pop,Smartphone,N
586,41-60 Ans,41,60,26,49,20267,67,Rock,Ordinateur,N
587,Moins de 18 Ans,1,17,18,29,21905,25,Rap,Smart TV,O
588,18-25 Ans,18,25,24,62,50785,67,Pop,Smartphone,N
589,26-40 Ans,26,40,23,27,65092,69,Rock,Ordinateur,N
590,41-60 Ans,41,60,21,58,39612,13,Rap,Smart TV,N
591,Moins de 18 Ans,1,17,23,13,58112,51,Pop,Smartphone,O
592,18-25 Ans,18,25,21,32,69391,67,Rock,Ordinateur,N
593,26-40 Ans,26,40,12,16,28528,27,Rap,Smart TV,N
594,41-60 Ans,41,60,24,4,43418,58,Pop,Smartphone,N
595,Moins de 18 Ans,1,17,27,59,76305,77,Rock,Ordinateur,O
596,18-25 Ans,18,25,10,51,61209,71,Rap,Smart TV,N
597,26-40 Ans,26,40,12,2,54910,11,Pop,Smartphone,N
598,41-60 Ans,41,60,27,55,85913,22,Rock,Ordinateur,N
599,Moins de 18 Ans,1,17,22,13,60297,92,Rap,Smart TV,O
600,18-25 Ans,18,25,13,47,98699,42,Pop,Smartphone,N
601,26-40 Ans,26,40,19,59,42892,2,Rock,Ordinateur,N
602,41-60 Ans,41,60,17,49,46942,16,Rap,Smart TV,N
603,Moins de 18 Ans,1,17,23,89,82835,45,Pop,Smartphone,O
604,18-25 Ans,18,25,17,28,31407,51,Rock,Ordinateur,N
605,26-40 Ans,26,40,23,98,42755,73,Rap,Smart TV,N
606,41-60 Ans,41,60,25,42,42197,16,Pop,Smartphone,N
607,Moins de 18 Ans,1,17,15,73,61386,42,Rock,Ordinateur,O
608,18-25 Ans,18,25,28,94,83765,59,Rap,Smart TV,N
609,26-40 Ans,26,40,13,45,91155,63,Pop,Smartphone,N
610,41-60 Ans,41,60,25,61,22177,65,Rock,Ordinateur,N
611,Moins de 18 Ans,1,17,19,97,59403,19,Rap,Smart TV,O
612,18-25 Ans,18,25,14,79,34093,64,Pop,Smartphone,N
613,26-40 Ans,26,40,21,43,76177,11,Rock,Ordinateur,N
614,41-60 Ans,41,60,26,55,21698,86,Rap,Smart TV,N
615,Moins de 18 Ans,1,17,20,55,92379,47,Pop,Smartphone,O
616,18-25 Ans,18,25,17,37,31432,78,Rock,Ordinateur,N
617,26-40 Ans,26,40,27,96291,82,Rap,Smart TV,N,
618,41-60 Ans,41,60,21,64,48052,4,Pop,Smartphone,N
619,Moins de 18 Ans,1,17,15,24,94405,25,Rock,Ordinateur,O
620,18-25 Ans,18,25,25,2,84555,53,Rap,Smart TV,N
621,26-40 Ans,26,40,17,82,59292,46,Pop,Smartphone,N
622,41-60 Ans,41,60,21,4,33311,64,Rock,Ordinateur,N
623,Moins de 18 Ans,1,17,14,42,97809,93,Rap,Smart TV,O
624,18-25 Ans,18,25,16,24,42629,3,Pop,Smartphone,N
625,26-40 Ans,26,40,16,52,72626,46,Rock,Ordinateur,N
626,41-60 Ans,41,60,27,2,28427,29,Rap,Smart TV,N
627,Moins de 18 Ans,1,17,29,93,53048,6,Pop,Smartphone,O
628,18-25 Ans,18,25,13,2,24054,27,Rock,Ordinateur,N
629,26-40 Ans,26,40,29,77,36132,84,Rap,Smart TV,N
630,41-60 Ans,41,60,17,16,37750,7,Pop,Smartphone,N
631,Moins de 18 Ans,1,17,23,8,78610,66,Rock,Ordinateur,O
632,18-25 Ans,18,25,15,71,63896,6,Rap,Smart TV,N
633,26-40 Ans,26,40,14,76,48253,21,Pop,Smartphone,N
634,41-60 Ans,41,60,22,56,63883,69,Rock,Ordinateur,N
635,Moins de 18 Ans,1,17,18,95,76557,79,Rap,Smart TV,O
636,18-25 Ans,18,25,22,8,65098,98,Pop,Smartphone,N
637,26-40 Ans,26,40,17,61,48043,27,Rock,Ordinateur,N
638,41-60 Ans,41,60,13,87,77590,13,Rap,Smart TV,N
639,Moins de 18 Ans,1,17,19,3,64129,65,Pop,Smartphone,O
640,18-25 Ans,18,25,19,18,91770,52,Rock,Ordinateur,N
641,26-40 Ans,26,40,17,2,74271,77,Rap,Smart TV,N
642,41-60 Ans,41,60,12,53,61904,29,Pop,Smartphone,N
643,Moins de 18 Ans,1,17,16,36,62278,17,Rock,Ordinateur,O
644,18-25 Ans,18,25,13,87,87054,22,Rap,Smart TV,N
645,26-40 Ans,26,40,13,11,95195,34,Pop,Smartphone,N
646,41-60 Ans,41,60,21,45,96162,91,Rock,Ordinateur,N
647,Moins de 18 Ans,1,17,23,25,23639,5,Rap,Smart TV,O
648,18-25 Ans,18,25,17,11,70331,56,Pop,Smartphone,N
649,26-40 Ans,26,40,26,89,35865,33,Rock,Ordinateur,N
650,41-60 Ans,41,60,24,3,73483,87,Rap,Smart TV,N
651,Moins de 18 Ans,1,17,23,59,93296,43,Pop,Smartphone,O
652,18-25 Ans,18,25,26,93,76513,84,Rock,Ordinateur,N
653,26-40 Ans,26,40,10,17,23580,16,Rap,Smart TV,N
654,41-60 Ans,41,60,26,5,56914,25,Pop,Smartphone,N
